"Antal bostadsbyggnader efter region, bygg�r och vart 5:e �r"

"region","bygg�r","2022"
"0114A0010","-1920",136
"0114A0010","1921-1930",26
"0114A0010","1931-1940",12
"0114A0010","1941-1950",11
"0114A0010","1951-1960",12
"0114A0010","1961-1970",26
"0114A0010","1971-1980",26
"0114A0010","1981-1990",28
"0114A0010","1991-2000",29
"0114A0010","2001-2010",19
"0114A0010","2011-2020",30
"0114A0010","2021-2030",16
"0114A0010","Ok�nt",27
"0114A0010","Totalt",398
"0114C1010","-1920",17
"0114C1010","1921-1930",8
"0114C1010","1931-1940",7
"0114C1010","1941-1950",3
"0114C1010","1951-1960",2
"0114C1010","1961-1970",1
"0114C1010","1971-1980",103
"0114C1010","1981-1990",148
"0114C1010","1991-2000",71
"0114C1010","2001-2010",67
"0114C1010","2011-2020",8
"0114C1010","2021-2030",..
"0114C1010","Ok�nt",4
"0114C1010","Totalt",439
"0114C1020","-1920",1
"0114C1020","1921-1930",4
"0114C1020","1931-1940",..
"0114C1020","1941-1950",..
"0114C1020","1951-1960",2
"0114C1020","1961-1970",..
"0114C1020","1971-1980",519
"0114C1020","1981-1990",..
"0114C1020","1991-2000",2
"0114C1020","2001-2010",27
"0114C1020","2011-2020",10
"0114C1020","2021-2030",1
"0114C1020","Ok�nt",..
"0114C1020","Totalt",566
"0114C1030","-1920",6
"0114C1030","1921-1930",2
"0114C1030","1931-1940",5
"0114C1030","1941-1950",2
"0114C1030","1951-1960",3
"0114C1030","1961-1970",..
"0114C1030","1971-1980",297
"0114C1030","1981-1990",79
"0114C1030","1991-2000",4
"0114C1030","2001-2010",11
"0114C1030","2011-2020",8
"0114C1030","2021-2030",..
"0114C1030","Ok�nt",1
"0114C1030","Totalt",418
"0114C1040","-1920",5
"0114C1040","1921-1930",2
"0114C1040","1931-1940",..
"0114C1040","1941-1950",..
"0114C1040","1951-1960",..
"0114C1040","1961-1970",..
"0114C1040","1971-1980",61
"0114C1040","1981-1990",36
"0114C1040","1991-2000",..
"0114C1040","2001-2010",..
"0114C1040","2011-2020",..
"0114C1040","2021-2030",..
"0114C1040","Ok�nt",1
"0114C1040","Totalt",105
"0114C1050","-1920",15
"0114C1050","1921-1930",17
"0114C1050","1931-1940",6
"0114C1050","1941-1950",10
"0114C1050","1951-1960",3
"0114C1050","1961-1970",..
"0114C1050","1971-1980",106
"0114C1050","1981-1990",78
"0114C1050","1991-2000",73
"0114C1050","2001-2010",259
"0114C1050","2011-2020",45
"0114C1050","2021-2030",1
