"Antal lägenheter efter region, upplåtelseform och år"

"region","upplåtelseform","2022"
"0114A0010","hyresrätt",68
"0114A0010","bostadsrätt",11
"0114A0010","äganderätt",234
"0114A0010","uppgift saknas",0
"0114C1010","hyresrätt",2
"0114C1010","bostadsrätt",222
"0114C1010","äganderätt",386
"0114C1010","uppgift saknas",0
"0114C1020","hyresrätt",0
"0114C1020","bostadsrätt",0
"0114C1020","äganderätt",556
"0114C1020","uppgift saknas",0
"0114C1030","hyresrätt",5
"0114C1030","bostadsrätt",555
"0114C1030","äganderätt",371
"0114C1030","uppgift saknas",0
"0114C1040","hyresrätt",273
"0114C1040","bostadsrätt",816
"0114C1040","äganderätt",5
"0114C1040","uppgift saknas",0
"0114C1050","hyresrätt",48
"0114C1050","bostadsrätt",52
"0114C1050","äganderätt",570
"0114C1050","uppgift saknas",0
"0114C1060","hyresrätt",718
"0114C1060","bostadsrätt",452
"0114C1060","äganderätt",108
"0114C1060","uppgift saknas",0
"0114C1070","hyresrätt",77
"0114C1070","bostadsrätt",7
"0114C1070","äganderätt",509
"0114C1070","uppgift saknas",0
"0114C1080","hyresrätt",972
"0114C1080","bostadsrätt",95
"0114C1080","äganderätt",5
"0114C1080","uppgift saknas",0
"0114C1090","hyresrätt",1052
"0114C1090","bostadsrätt",693
"0114C1090","äganderätt",0
"0114C1090","uppgift saknas",0
"0114C1100","hyresrätt",106
"0114C1100","bostadsrätt",136
"0114C1100","äganderätt",389
"0114C1100","uppgift saknas",0
"0114C1110","hyresrätt",309
"0114C1110","bostadsrätt",402
"0114C1110","äganderätt",285
"0114C1110","uppgift saknas",0
"0114C1120","hyresrätt",460
"0114C1120","bostadsrätt",917
"0114C1120","äganderätt",94
"0114C1120","uppgift saknas",0
"0114C1130","hyresrätt",0
"0114C1130","bostadsrätt",1024
"0114C1130","äganderätt",51
"0114C1130","uppgift saknas",0
"0114C1140","hyresrätt",65
"0114C1140","bostadsrätt",279
"0114C1140","äganderätt",761
"0114C1140","uppgift saknas",0
"0114C1150","hyresrätt",405
"0114C1150","bostadsrätt",619
"0114C1150","äganderätt",295
"0114C1150","uppgift saknas",0
"0114C1160","hyresrätt",493
"0114C1160","bostadsrätt",178
"0114C1160","äganderätt",231
"0114C1160","uppgift saknas",0
"0114C1170","hyresrätt",421
"0114C1170","bostadsrätt",0
"0114C1170","äganderätt",310
"0114C1170","uppgift saknas",0
"0114C1180","hyresrätt",1
"0114C1180","bostadsrätt",527
"0114C1180","äganderätt",29
"0114C1180","uppgift saknas",0
"0114C1190","hyresrätt",426
"0114C1190","bostadsrätt",149
"0114C1190","äganderätt",280
"0114C1190","uppgift saknas",0
"0114C1200","hyresrätt",705
"0114C1200","bostadsrätt",310
"0114C1200","äganderätt",56
"0114C1200","uppgift saknas",0
"0114C1210","hyresrätt",913
"0114C1210","bostadsrätt",305
"0114C1210","äganderätt",32
"0114C1210","uppgift saknas",0
"0114C1220","hyresrätt",283
"0114C1220","bostadsrätt",49
"0114C1220","äganderätt",261
"0114C1220","uppgift saknas",0
"0115A0010","hyresrätt",68
"0115A0010","bostadsrätt",28
"0115A0010","äganderätt",740
"0115A0010","uppgift saknas",0
"0115A0020","hyresrätt",74
"0115A0020","bostadsrätt",0
"0115A0020","äganderätt",530
"0115A0020","uppgift saknas",0
"0115A0030","hyresrätt",9
"0115A0030","bostadsrätt",0
"0115A0030","äganderätt",469
"0115A0030","uppgift saknas",0
"0115A0040","hyresrätt",84
"0115A0040","bostadsrätt",92
"0115A0040","äganderätt",459
"0115A0040","uppgift saknas",0
"0115B2010","hyresrätt",20
"0115B2010","bostadsrätt",85
"0115B2010","äganderätt",398
"0115B2010","uppgift saknas",0
"0115B3010","hyresrätt",108
"0115B3010","bostadsrätt",43
"0115B3010","äganderätt",354
"0115B3010","uppgift saknas",0
"0115C1010","hyresrätt",7
"0115C1010","bostadsrätt",222
"0115C1010","äganderätt",700
"0115C1010","uppgift saknas",0
"0115C1020","hyresrätt",5
"0115C1020","bostadsrätt",493
"0115C1020","äganderätt",401
"0115C1020","uppgift saknas",0
"0115C1030","hyresrätt",0
"0115C1030","bostadsrätt",463
"0115C1030","äganderätt",141
"0115C1030","uppgift saknas",0
"0115C1040","hyresrätt",2
"0115C1040","bostadsrätt",228
"0115C1040","äganderätt",548
"0115C1040","uppgift saknas",0
"0115C1050","hyresrätt",24
"0115C1050","bostadsrätt",2
"0115C1050","äganderätt",865
"0115C1050","uppgift saknas",0
"0115C1060","hyresrätt",261
"0115C1060","bostadsrätt",1094
"0115C1060","äganderätt",67
"0115C1060","uppgift saknas",0
"0115C1070","hyresrätt",625
"0115C1070","bostadsrätt",567
"0115C1070","äganderätt",55
"0115C1070","uppgift saknas",0
"0115C1080","hyresrätt",2
"0115C1080","bostadsrätt",165
"0115C1080","äganderätt",431
"0115C1080","uppgift saknas",0
"0115C1090","hyresrätt",95
"0115C1090","bostadsrätt",672
"0115C1090","äganderätt",0
"0115C1090","uppgift saknas",0
"0115C1100","hyresrätt",13
"0115C1100","bostadsrätt",312
"0115C1100","äganderätt",534
"0115C1100","uppgift saknas",0
"0115C1110","hyresrätt",73
"0115C1110","bostadsrätt",271
"0115C1110","äganderätt",510
"0115C1110","uppgift saknas",0
"0115C1120","hyresrätt",7
"0115C1120","bostadsrätt",28
"0115C1120","äganderätt",594
"0115C1120","uppgift saknas",0
"0115C1130","hyresrätt",86
"0115C1130","bostadsrätt",0
"0115C1130","äganderätt",357
"0115C1130","uppgift saknas",0
"0117A0010","hyresrätt",5
"0117A0010","bostadsrätt",16
"0117A0010","äganderätt",240
"0117A0010","uppgift saknas",0
"0117A0020","hyresrätt",120
"0117A0020","bostadsrätt",77
"0117A0020","äganderätt",807
"0117A0020","uppgift saknas",0
"0117A0030","hyresrätt",137
"0117A0030","bostadsrätt",0
"0117A0030","äganderätt",873
"0117A0030","uppgift saknas",1
"0117C1010","hyresrätt",27
"0117C1010","bostadsrätt",24
"0117C1010","äganderätt",425
"0117C1010","uppgift saknas",0
"0117C1020","hyresrätt",14
"0117C1020","bostadsrätt",21
"0117C1020","äganderätt",471
"0117C1020","uppgift saknas",0
"0117C1030","hyresrätt",46
"0117C1030","bostadsrätt",12
"0117C1030","äganderätt",843
"0117C1030","uppgift saknas",0
"0117C1040","hyresrätt",20
"0117C1040","bostadsrätt",85
"0117C1040","äganderätt",802
"0117C1040","uppgift saknas",0
"0117C1050","hyresrätt",173
"0117C1050","bostadsrätt",221
"0117C1050","äganderätt",588
"0117C1050","uppgift saknas",0
"0117C1060","hyresrätt",13
"0117C1060","bostadsrätt",627
"0117C1060","äganderätt",551
"0117C1060","uppgift saknas",0
"0117C1070","hyresrätt",115
"0117C1070","bostadsrätt",24
"0117C1070","äganderätt",689
"0117C1070","uppgift saknas",0
"0117C1080","hyresrätt",7
"0117C1080","bostadsrätt",29
"0117C1080","äganderätt",921
"0117C1080","uppgift saknas",0
"0117C1090","hyresrätt",0
"0117C1090","bostadsrätt",527
"0117C1090","äganderätt",395
"0117C1090","uppgift saknas",0
"0117C1100","hyresrätt",457
"0117C1100","bostadsrätt",380
"0117C1100","äganderätt",489
"0117C1100","uppgift saknas",0
"0117C1110","hyresrätt",1221
"0117C1110","bostadsrätt",146
"0117C1110","äganderätt",0
"0117C1110","uppgift saknas",0
"0117C1120","hyresrätt",256
"0117C1120","bostadsrätt",409
"0117C1120","äganderätt",233
"0117C1120","uppgift saknas",0
"0117C1130","hyresrätt",193
"0117C1130","bostadsrätt",611
"0117C1130","äganderätt",235
"0117C1130","uppgift saknas",0
"0117C1140","hyresrätt",530
"0117C1140","bostadsrätt",830
"0117C1140","äganderätt",44
"0117C1140","uppgift saknas",0
"0117C1150","hyresrätt",21
"0117C1150","bostadsrätt",12
"0117C1150","äganderätt",261
"0117C1150","uppgift saknas",0
"0117C1160","hyresrätt",8
"0117C1160","bostadsrätt",74
"0117C1160","äganderätt",651
"0117C1160","uppgift saknas",0
"0117C1170","hyresrätt",71
"0117C1170","bostadsrätt",8
"0117C1170","äganderätt",596
"0117C1170","uppgift saknas",0
"0117C1180","hyresrätt",16
"0117C1180","bostadsrätt",0
"0117C1180","äganderätt",416
"0117C1180","uppgift saknas",0
"0117C1190","hyresrätt",46
"0117C1190","bostadsrätt",1
"0117C1190","äganderätt",533
"0117C1190","uppgift saknas",0
"0117C1200","hyresrätt",238
